reviewerID,name,location,yelpJoinDate,friendCount,reviewCount,firstCount,usefulCount,coolCount,funnyCount,complimentCount,tipCount,fanCount
v0b5eT1FRwpK3UpVDjEtqA,Steven W.,"Chicago, IL",February 2008,12,39,2,17,7,3,3,0,1
NoHJb7x8IEakUJTx6_vGTA,Jane E.,"Boston, MA",March 2010,0,224,16,141,45,26,8,0,3
1t3I8ePVDI7iFeJ4Z5xFAQ,Natalie I.,"Kenosha, WI",October 2011,11,33,0,34,8,11,0,0,0
IL4O2SIcumu1un5UkgB3FQ,Winston G.,"New York, NY",February 2008,106,610,3,543,234,128,158,0,20
SAHFP9LY6pMXp37HvkEVRA,"Simeen wait, do I smell pizza? A.","Chicago, IL",February 2009,10,36,0,91,11,30,3,2,1
OQjwZuE5xNJvbNoVl3zcgg,Andrew F.,"Ann Arbor, MI",February 2009,15,58,0,52,30,22,7,0,8
Hi2H4aKjVg6_5K5ApAAedQ,Aurea Rich J's sidekick in eating :0) R.,"Yonkers, NY",April 2009,11,9,0,2,0,1,5,17,0
yjbQpbFSrSYDaWrzWIFE4Q,John Changstar C.,"Campbell, CA",July 2012,41,4,0,1,1,1,1,0,0
DjRLgK3wSty2_M4bgRusrQ,Sarah P.,"Washington, DC",August 2010,0,23,0,21,1,1,1,0,0
B-QUN5HfGwCIGY991emHcg,jennifer shiaojay y.,"Chicago, IL",November 2007,19,24,3,33,2,4,5,0,1
EEWQN8TO8AURR0-DLRob2Q,Danielle Dani R.,"Chicago, IL",December 2008,4,38,1,37,14,19,5,0,1
IWRDYFMQXhJu_DfftFTtIA,Anastacia B.,"Elmhurst, IL",August 2009,24,191,8,133,67,64,26,0,4
buSmgMa-btyLX1SAWmwmrg,Joe W.,"Chicago, IL",October 2008,25,19,3,31,25,31,7,7,0
2hJO_PsqV667qzO8rcdpbg,Allison Y.,"Saratoga, CA",January 2010,192,140,0,81,48,53,34,0,5
FBpr7R2Prp3OgVpn6YkEoA,jenny just give me a salad bar and a beer m.,"Chicago, IL",August 2008,41,174,1,177,110,83,79,0,10
OGFxp_d7WsIu6kl0vE6k3w,Lin Lin S.,"Los Angeles, CA",January 2010,15,201,1,301,177,181,21,0,7
rWTHQ9MZEhHqyXpNbVB87g,Stephanie B.,"San Jose, CA",March 2007,12,22,0,72,9,19,0,0,1
jzAs_NKDen4ntWMUkelbcw,jesy b.,"Chicago, IL",April 2007,2,30,1,28,12,16,1,0,1
zJiooZnU2ux8YWIPWd-s-Q,Sean Zero SelfControl H.,"Pompano Beach, FL",October 2011,8,65,2,41,11,32,14,15,0
CVE3jHMz58DUfPYrGAtJvg,Liza J.,"Memphis, TN",September 2009,6,63,8,96,33,30,11,6,0
vttd97yTi3cTzIJsZZEmRw,G. Benjamin E.,"La Grange, KY",April 2011,8,16,1,28,9,12,5,51,0
nA7fXJeD5FTfInjvh1eMJA,Anthony F.,"Marlton, NJ",July 2012,0,26,2,13,1,0,1,0,0
_jjaEH9fBGOAix61nsltkg,J C.,"New York, NY",August 2009,9,17,1,19,3,5,2,0,0
6Vzxb1J9NcDMdjs6-ZoArQ,Christy XT L.,"Chicago, IL",April 2009,49,108,1,159,116,44,52,2,2
23q4pciLv2UUgXIFmTnS0w,Nicole Nic S.,"San Francisco, CA",July 2012,0,5,0,0,0,0,1,0,0
2fN8mN7uUjOw-QqtcgYqXQ,David The DAGAT Guide L.,"Stanford, CA",September 2008,72,711,25,980,517,506,308,102,22
6_ZUomq74115CybROvIv7Q,Ben H.,"San Francisco, CA",April 2007,148,209,2,203,94,113,91,7,3
XFR4tfX0LFE079es_FlQzA,Lu H.,"Chicago, IL",July 2009,5,89,0,92,21,21,3,6,4
rZcJ8iZF3Uf1dvEH2IhePQ,Josh Complicavore P.,"New York, NY",March 2008,4,13,0,34,3,4,2,1,0
8D8mjeNaJ3DGhl0WX8copA,Brandon C.,"Toronto, ON",December 2010,8,98,9,103,32,31,16,3,2
Ek0ZHoNYjwYVaCCf4WZ8Vg,Mary I.,"Santa Monica, CA",April 2008,38,61,2,74,22,23,4,2,1
zH3dt6CdiHIvmfsDHcqTpA,Erick N.,"Chicago, IL",July 2011,49,147,3,263,129,94,47,7,9
9a50-Fj2MZ0sBAygV9XQYA,Camille the dish P.,"Chicago, IL",September 2010,18,53,0,41,27,18,5,0,2
71IYrODaVPnVTAMcoQwelQ,Jonathan The Lump P.,"Los Angeles, CA",January 2010,3,37,1,14,2,12,2,0,1
Qx5bz4luino7htScnjwsMA,Judd L.,"Miami, FL",May 2008,752,1068,97,4079,3054,1855,19,0,52
v1MFfe1n6wd_m9YBWUIQLw,Rachel the salamander H.,"Chicago, IL",October 2010,44,124,2,81,45,58,14,6,3
NbtAMNxHs1P1m5RJL3Q9-g,Alice L.,"Chicago, IL",June 2010,6,73,1,41,13,11,5,0,1
Y_OtGVh8HWQQzXQcHFcZRg,Andrew G.,"Chicago, IL",January 2011,8,53,1,60,20,10,16,4,0
UrOofvcBl0gAbKPAEaj83A,Louise Lu M.,"Chicago, IL",March 2011,16,27,0,23,17,22,5,0,1
ECZPvbk-sp4V2Yj_tfQERw,K. D.,"Chicago, IL",February 2012,0,63,0,4,0,0,0,0,1
buqO_8hJeSykqNNCKhvK3Q,Kelli Ann L.,"Hoffman Estates, IL",February 2012,100,20,0,18,7,1,3,0,1
U_Cd5xziWGH0gBgcF41exA,Yvonne L.,"New York, NY",February 2010,23,13,0,15,2,2,0,0,2
ZtY9bMvYkUFoZjhHC5kshg,Liwei Y.,"San Francisco, CA",September 2011,33,257,0,117,42,23,7,0,0
lLNsPbBNZyBcT10_s5zacw,Diane L.,"Albuquerque, NM",July 2011,0,16,0,25,12,10,2,0,0
HGFzfaf9qw74SAEzytqwpQ,Peter V.,"Manhattan, NY",June 2010,5,31,1,22,2,3,1,0,1
09_Mk4Mdr6cqw0TYP6FHXg,Shang C.,"San Francisco, CA",October 2007,88,155,1,115,57,19,19,3,2
97BBotQTUSFBr1P7wJ_dVw,Ashley M.,"Seattle, WA",January 2011,21,148,1,67,42,14,15,0,2
VwXHNGtIvyLSrkcEQzsc4g,Chris L.,"Chicago, IL",May 2012,5,1,0,0,0,0,0,0,0
xNFVpJRHTFYRhd4zWfeUQw,Carolynn W.,"Carmel-By-the-Sea, CA",September 2009,0,12,0,3,0,0,0,0,0
vv_YFEMLBVwFkxuFj0nISg,Scott Spitting out the future retrospect S.,"Leesburg, VA",November 2008,42,49,5,55,36,47,33,0,2
X6k6njbz7nLAzoZ_oud47A,Rick C.,"Morton Grove, IL",August 2009,23,174,2,148,75,95,28,0,6
UT4P_cuEzJhk-AGj8NOwMQ,Glen F.,"Grand Rapids, MI",September 2010,21,57,8,135,98,51,112,0,0
w-w-k-QXosIKQ8HQVwU6IQ,Anthony Looking forward to fall flavors and produce N.,"Playa del Rey, CA",March 2009,2315,1550,113,19452,17199,14285,31111,1618,353
6zFRjP-zoS8Caozwn4fHMA,Jenn The Hungry Bear H.,"Chicago, IL",February 2010,7,35,1,53,17,17,6,5,1
PICPSwI-sc-E9WneXYb7uw,Dani B.,"San Diego, CA",February 2009,10,56,0,42,18,2,6,0,0
J5tJo-hoZtG6FNvllUDaJA,Carrie-C N.,"San Jose, CA",January 2008,34,258,1,144,67,51,11,0,3
heFBt7Vp6ybf81YnFKXs2g,Jaime S.,"Chicago, IL",July 2007,40,171,7,152,115,132,49,0,8
I-xDA7qGoHcxhYlSrGrwEQ,Steve M.,"Atlanta, GA",December 2011,0,31,0,10,4,14,0,0,0
a4seSZMF9QxPBGAJ9MjaPw,Stephanie HUZZAH! L.,"Chicago, IL",August 2008,193,638,11,703,260,319,127,133,17
Wvdus3DyQLqhNJXuB8t0aw,Celine kirby L.,"Monterey Park, CA",July 2009,553,170,9,874,689,606,1123,259,52
ClZQLZlWgXWfWoOVbxJ9Vg,Mandy Grinder P.,"Chicago, IL",November 2009,43,231,15,235,134,149,60,2,6
aIGv3Yv82yoBfjvkmKmu4A,Kai Snow Bunny Y.,"Cupertino, CA",December 2006,21,122,0,212,93,48,46,0,7
y6UplUH72gl3eBtG6ACa1w,Ellen O.,"New York, NY",September 2008,10,129,7,174,48,18,10,5,3
_YH6rJGxcxc9nDY_-O2oiQ,Coleman B.,"Chicago, IL",July 2012,10,26,0,10,3,8,0,0,0
cjIM_UQVdeLHDJVsWtxiZA,Sandy Food Bandit C.,"New York, NY",December 2008,226,505,40,1642,1476,844,1083,1,26
yUtpH7we9094CAAYyg1AMw,Sunil D.,"Chicago, IL",February 2010,39,79,2,168,86,119,18,7,3
sO8A8Vltrn-7HPlIvGwXTQ,John Still John S. S.,"Somerville, MA",January 2008,148,714,52,835,504,520,195,6,22
ir689oBNmrJXOspb4yq_Jg,Kim Threat Level Midnight K.,"Somerville, MA",January 2008,161,1238,104,988,493,256,145,18,30
qmVXmbchh1V-PYSpvWU_rw,adam b.,"Laguna Beach, CA",June 2008,3,939,32,479,179,119,58,0,14
nQU0kOO7KKU1HR1CvaKC4w,M S.,"Los Angeles, CA",August 2007,15,47,10,244,142,157,67,0,5
2-5Ty9-lUW7IQyyEnp0Hcw,Gerry H.,"San Diego, CA",February 2009,49,147,2,162,48,20,21,22,4
qruOUB36ZPf9zztkemL2pw,Yvonne Y.,"Chicago, IL",November 2007,60,408,22,281,118,118,55,1,14
7uq1fe0H-U0jVXPVjCJu_Q,Mariah C.,"Colorado Springs, CO",December 2010,16,96,15,72,20,17,11,1,1
BFNVTFyGZZ_IzzWCRpPrbg,Benjamin Benjur L.,"Oakland, CA",March 2009,171,109,0,74,26,43,8,1,0
_2Sao1vLSkNLB4YM8bghpQ,Sallina Y.,"Queens, NY",May 2010,12,91,2,237,158,106,35,0,6
CHxLE0vpueJWoDYOVo7PEQ,Tina L.,"Fremont, CA",November 2007,24,183,0,132,46,50,10,0,3
JjTusdmnjHxKe-Kqwr0YGA,Albert H.,"Sunnyvale, CA",June 2011,45,415,2,1199,560,206,171,5,16
3hWhXTkU83jsm3jIA-rkIg,Richard P.,"Alhambra, CA",June 2009,333,497,13,695,492,336,306,71,26
--KQJPdrU0Md97DiOliDzw,Steven C.,"Bellerose, NY",January 2006,87,163,9,277,169,140,135,13,5
OZunuo4TuEGIQbWb4ULXMA,Karen Bookwoman M.,"New Lenox, IL",December 2010,1,45,6,43,19,17,4,0,0
-mXeKyLof7RicLOkQ2HEWw,David chaser K.,"Santa Clara, CA",November 2009,42,109,1,94,30,24,11,0,4
xXw7C9RV_eVGSllVAajsRA,Lynn Epic Dinner C.,"San Diego, CA",March 2009,47,45,0,49,22,17,15,0,2
9j3EILvGpHgoOy70rIP4XA,Christine Medium?! I'd like my steak large! P.,"Los Angeles, CA",April 2007,191,451,71,950,641,596,446,0,39
jk-J-V06Et4LQW1WFpgj3g,Johnny P.,"Franklin Park, IL",December 2011,25,8,0,12,6,4,0,0,0
xVP3zNeKbvo41noFLSXyqw,Leslie lolz W.,"San Francisco, CA",July 2008,67,178,10,260,125,105,109,9,12
WWnhqRnWWjutMqh-2SzEuQ,Steph C.,"Los Angeles, CA",July 2008,1366,1635,74,6702,5689,5546,2193,0,261
jmFA9cOEjURO3rnseA7W9Q,"Dana been there, done that F.","Chicago, IL",April 2009,620,827,171,2995,2487,2214,5280,34,111
c3_Z3hPXurVwSyJrsyU8tA,Jeannie J.,"Newark, CA",April 2009,133,251,6,183,94,73,38,11,4
ZZ0fsmQf-VLTrSv0T9_cZA,Doug the Robot L.,"Richmond, VA",October 2010,7,52,1,25,9,12,3,25,2
8dyYr21KXoNJ-Iad38eaLg,Taylor L.,"Savoy, IL",December 2008,28,24,1,18,2,0,1,1,1
j3gTi1aMxcMrnJJYpOqWVg,Sandy J.,"Chicago, IL",February 2009,0,31,0,34,7,7,0,0,0
rQrqrb5dFztAeFYwyqbygA,Caroline A.,"Chicago, IL",July 2006,891,1076,117,6144,4881,4224,8555,0,136
WvntDWMQnaEV8agu3gcTug,Alma P.,"Tustin, CA",December 2007,187,411,6,688,465,184,102,0,19
m7iiJlloCRfWaCPwQwTmpg,Rhoda G.,"Chicago, IL",February 2009,286,365,2,1154,964,646,1116,110,22
kUZ128Ym3gDfLrONMPF0tg,Ken wagon wheel watusi B.,"Kansas City, MO",May 2010,248,209,26,1431,937,767,552,0,17
-263rdThkWHfXp19b1uSBQ,Anirudh M.,"Boyds, MD",March 2011,4,3,0,0,2,0,0,0,0
C9cFMxkQMjKKeY4Tkrcczw,katie still alive t.,"New York, NY",October 2010,63,92,0,127,70,80,53,2,6
9qyLpg3JTVUZXS4XrQgZkQ,Mike P.,"Mountain View, CA",September 2008,431,204,4,387,153,107,214,40,10
MbOlX_dDqJhxo7p0JPLqWw,Chloe Phyll F.,"San Mateo, CA",January 2007,12,55,3,154,27,28,11,1,3
Hu1cBFEtKwK0Xr4MLaKgvQ,Angela H.,"Berkeley, CA",April 2008,204,117,5,208,132,143,114,54,19
89yr7wNIk8TE03yKfTRLuQ,Lindley E.,"Chicago, IL",October 2006,313,851,97,3042,2118,1814,1222,5,78
f741AFzATbPyQ4P2V7G0Zw,JP midget lover D.,"Chicago, IL",January 2008,26,16,0,4,3,10,10,0,2
iGDJXmRZ57b_EKITK2h7-w,Ellen New to Seattle C.,"Capitol Hill, Seattle, WA",December 2008,121,156,4,104,54,43,37,0,8
8f539I32x70DiySQJ_BSXg,Ria S.,"Chicago, IL",January 2011,0,15,1,23,7,8,1,0,0
wtyu7MSay0KKw9yL_rEvHg,Diana DianaP P.,"Chicago, IL",December 2007,50,208,10,300,174,67,37,1,7
EiwxlbR8fb68lMgEXhcWKA,Lorrie bCaHnIaCnKa M.,"San Jose, CA",November 2008,1950,1998,85,6955,4662,3283,2947,129,195
v2gd5HtjnNiNJJotmKJ7wg,Leanne F.,"Chicago, IL",March 2011,13,15,1,25,5,4,3,0,1
Oaz3YfDZE9vmB_N0YaUMUw,Negin J.,"Chicago, IL",March 2009,10,71,1,36,15,10,6,1,1
DIxnK2XsI6cmgYsqonRqSA,Cynthia Y.,"San Francisco, CA",August 2009,27,16,1,127,29,18,3,0,0
0omRuqYQc5zatmKHZRvoNA,Tom E.,"San Francisco, CA",November 2009,4,20,0,24,6,4,2,0,0
a8Ph3VkC2jn1NKgulz2pcQ,Joshua D.,"Woodside, NY",May 2009,15,6,0,1,0,0,0,4,0
YwXC-G6hgVQh6QXa6Nhvdw,Aaron W.,"Chicago, IL",May 2011,1,6,0,3,0,0,0,0,0
ECwo78r1V89r6gO3R588tw,Monica 007 D.,"Chicago, IL",September 2011,3,19,1,5,0,5,2,0,0
Tt0sqEGd713R13wk26pEFw,Brian P.,"Elmhurst, IL",August 2010,25,10,0,27,11,5,1,0,1
T2OAVuibC24GkHG_DZHrOA,Maxine S.,"San Francisco, CA",September 2009,18,146,0,199,66,83,18,0,3
LZwRtRSIR7Jv6LdBfqQyfA,"Brett No, it's not a boys name D.","Chicago, IL",May 2007,1299,902,51,10051,8851,8493,12278,0,440
bl-tBlYw6lSInnyG7ZsPSA,Desirae K.,"Chicago, IL",August 2010,61,106,4,138,48,44,37,19,5
m9RGgJUaKHehdk173jyCSg,Andrew G.,"Manhattan, NY",November 2011,14,2,0,0,0,0,0,1,0
oDCa6UjtdQBPONHXSspt_Q,Cavan H.,"Brooklyn, NY",July 2011,7,2,0,0,0,0,0,0,0
OrD_N8sWlBMbJ39bXeA5eA,Ryan Baconator S.,"Austin, TX",November 2007,260,216,36,1152,1083,1374,1037,0,28
8q7ceN8jbrDEIq3eE-NTEA,Mimi L.,"Newport Beach, CA",August 2009,902,374,17,3311,3055,2685,4076,0,104
Ptg1LQeRtFVcDqWX_3I7Qg,Jeff F.,"Chicago, IL",May 2009,8,24,0,10,4,0,1,2,0
UmndpN8Dx_6Ot_FyyLMPew,Emily @emilybelden B.,"Chicago, IL",June 2010,127,234,2,340,175,191,109,8,23
_qRV6YI3wm6hF0SF-2z8ng,Derrick T.,"Woodridge, IL",May 2008,67,227,9,370,161,110,141,26,12
ptLIFLUPwg3MYt-J62s3iA,V B.,"Burlingame, CA",September 2006,157,367,15,1457,1137,1370,4218,15,36
KcqBSDp461EXqhpfapivJQ,Otto A.,"Glenview, IL",July 2010,0,33,1,16,1,5,0,0,0
m4yMNcpfHLAgvJJiXmBKDw,Helen Melon S.,"Washington, DC",September 2011,82,292,1,324,183,194,63,2,12
OUuPxcGcuKclXQxleMLpjA,Gina T.,"San Jose, CA",July 2007,125,140,4,196,123,148,93,14,9
QLGrFmUwWFDbaJ3NQED0Qg,Thomas D.,"Irvine, CA",September 2009,81,233,1,225,127,53,68,0,6
RzORKQ57vpDTBVRTXWDGmQ,Valerie H.,"San Diego, CA",February 2009,50,197,6,276,91,85,51,1,9
b8HMI9wlTo0-sJcr_nqf4g,Kitty spdykat D.,"San Jose, CA",December 2008,4,13,0,48,34,32,11,0,0
lNsZDf3Qmme_AF20Gs8KVg,Tim H.,"Chicago, IL",August 2006,62,326,2,346,128,69,102,1,11
lBY1uLUeKzE-3kAOWDvVow,Ruby puwaka C.,"San Francisco, CA",November 2008,56,14,0,12,5,15,3,0,2
A510CFZi6V3Vmvws0VakVw,Candy L.,"Mountain View, CA",September 2008,67,33,0,43,11,6,6,16,2
puyJGdePPNGo25uBqpFhHw,mike the grandpa s.,"Cary, NC",July 2011,0,5,0,3,3,4,0,0,0
XECnXwiGskdTURgiBZ9lfw,Eric justgosh G.,"Chicago, IL",June 2009,15,70,1,42,9,24,1,1,1
xp9UEkFyz7h7Ii1XVzU4tA,Chad CNoTe T.,"Manhattan, NY",January 2007,46,493,5,404,204,100,56,0,17
vlVhwwjROn4Yv6aWokstHQ,Holly F.,"Arlington, VA",April 2009,48,94,7,98,35,22,10,25,3
SXiGXnHiKpYVZCKr3Lev4Q,Lauren H.,"Chicago, IL",April 2009,6,12,0,25,10,10,0,0,1
IyQELr1jL5E13lLvaF7GUQ,Sara B.,"Manhattan, NY",December 2010,27,82,3,121,29,24,16,0,2
q16FcvZyP5SURJEX8iGcTg,Angelica C.,"Highland Park, Dallas, TX",April 2008,8,191,3,154,49,90,0,0,1
sisgRdPt85mCgANdToyMkQ,Stella The Duchess of Pork D.,"Woodside, NY",October 2007,140,385,19,1039,834,507,513,3,25
VsZMn_XmWJM6IOvK2vi0xg,Michelle Z.,"Chicago, IL",January 2010,5,69,0,51,19,24,9,0,2
GoKvrVyi9apu6OhMlGL3ag,Charles A.,"Chicago, IL",December 2010,9,27,0,57,39,28,2,0,3
TSoBMmHzAD3Ej32RBmRJcg,Justin O.,"Chicago, IL",November 2008,0,4,0,4,3,1,0,0,0
M0rNN24SKQUrvggbY2UuYw,Sokhary Monkeyshine_01 E.,"Boston, MA",August 2010,0,4,0,3,1,0,0,0,0
UAnMFCh_tR18PQMgT60SOQ,Jeanus T.,"Chicago, IL",April 2010,8,82,2,43,9,5,5,0,0
4t3_5YjSCeAlXd242NMdJQ,Cary MASTERPC W.,"Arlington, VA",March 2011,2,21,0,16,4,1,1,1,1
h9O1Q4kEklvYdwVsffTpMA,Jamie O.,"Chicago, IL",January 2010,18,88,0,37,5,7,1,0,4
tJfrTG8C-cGP7jgUcvr1BQ,Rich J.,"Yonkers, NY",November 2009,30,263,5,138,77,69,30,0,6
ryXS7_pgwzkdzxg2Lg9rcQ,Kav B.,"Chicago, IL",August 2011,1,7,0,10,10,0,0,0,0
EyCGoDrfE1r1w3gn8ImGIw,CeeCee Y.,"Chicago, IL",June 2011,0,25,1,29,8,21,2,0,0
4mjnkd8oJVCfBKN3i4rB-g,Tricia The Cupcake Machine L.,"Chicago, IL",November 2008,273,774,53,1846,1439,1565,732,0,47
Krlzj-ohHIvNs0D61FZACA,Jennifer Professional Kitten Belly Rubber R.,"Huntington Beach, CA",February 2010,32,9,0,11,2,8,8,21,0
-28-_6UE3VJ1iYnUnzHBQA,Molly Not a fu*kin foodie U.,"Austin, TX",March 2007,0,156,7,217,97,71,41,0,2
D9ovFFAYDU3S0wROIqnjTw,Charlie B.,"Chicago, IL",March 2007,48,166,2,123,68,32,22,0,2
ARXswZQ4aDfhPnMYSbzcSw,JR apple bottoms W.,"Chicago, IL",December 2008,19,264,29,252,90,83,44,0,4
z1UrbSoWK5-h4nOfMpoliw,Bill Wild Bill E.,"Cincinnati, OH",March 2009,22,237,9,130,48,22,55,12,1
-nTFFQMBWNedW5wS4wxpeg,CB S.,"Chicago, IL",July 2009,5,67,1,40,16,10,2,0,0
X3F7hKy3IsrqdsfEKvK9Fg,Naiel I.,"New York, NY",September 2008,29,1,0,2,1,0,1,1,0
LkcrdEk9-SOBbLXt0-Mvwg,Bert P.,"Las Vegas, NV",August 2010,43,59,0,62,41,53,7,14,3
U4INQZOPSUaj8hMjLlZ3KA,Michael Uhockey U.,"Phoenix, AZ",January 2008,524,1544,144,2883,1945,1443,1109,156,103
uFIkUkgFv-FJ5iooQ88sSA,Borracho G.,"Chicago, IL",April 2010,15,154,1,65,44,84,16,78,1
nlny5kyBZVn7450qCaHlVA,Julie JZ Z.,"Chicago, IL",November 2010,62,167,0,191,92,82,38,0,7
OapLWhQI4_Gm32-nYbHmUA,Yee Gan Yogi Bear O.,London,May 2007,1386,1688,753,16101,13753,9332,39960,258,185
olwvZrHwaC6NnrU_j9oFng,Patrick N.,"Shiloh, IL",August 2010,13,101,0,63,26,14,22,0,4
Hy7_tW7c7pgFS4-IGjX4Wg,Rocky J.,"Chicago, IL",June 2012,0,8,0,2,1,2,0,0,0
LJ8U5ZVnFpF8XNUR7DcUng,Rob L.,"Chicago, IL",October 2006,664,571,49,3956,3743,2855,5678,20,78
bNQ-wOd_hQwg_T7v3Rx9lQ,G S.,"Chicago, IL",February 2006,57,37,11,117,74,201,344,0,8
_TV_mXYd-26xKXQkeiE4GQ,Ji K.,"Chicago, IL",February 2008,26,171,9,179,178,88,60,0,5
OelhkeZuMO548boaPivGLA,A K.,"Schaumburg, IL",November 2007,0,26,6,70,8,10,0,0,2
oTno7XAOiLDdAG_RMhhawQ,marissa chunk d.,"Chicago, IL",May 2006,164,248,22,849,678,571,289,0,35
